Account Name,Primary Contact,Main Phone,Account Number,Account Rating,Address 1: Address Type,Address 1: City,Address 1: Country/Region,Address 1: County,Address 1: Fax,Address 1: Freight Terms,Address 1: Latitude,Address 1: Longitude,Address 1: Name,Address 1: Post Office Box,Address 1: Primary Contact Name,Address 1: Shipping Method,Address 1: State/Province,Address 1: Street 1,Address 1: Street 2,Address 1: Street 3,Address 1: Telephone 2,Address 1: Telephone 3,Address 1: UPS Zone,Address 1: UTC Offset,Address 1: ZIP/Postal Code,Address 2: Address Type,Address 2: City,Address 2: Country/Region,Address 2: County,Address 2: Fax,Address 2: Freight Terms,Address 2: Latitude,Address 2: Longitude,Address 2: Name,Address 2: Post Office Box,Address 2: Primary Contact Name,Address 2: Shipping Method,Address 2: State/Province,Address 2: Street 1,Address 2: Street 2,Address 2: Street 3,Address 2: Telephone 1,Address 2: Telephone 2,Address 2: Telephone 3,Address 2: UPS Zone,Address 2: UTC Offset,Address 2: ZIP/Postal Code,Address Phone,Aging 30,Aging 60,Aging 90,Annual Revenue,Business Type,Category,Classification,Created By,Created On,Credit Hold,Credit Limit,Customer Size,Description,Do not allow Bulk E-mails,Do not allow Bulk Mails,Do not allow E-mails,Do not allow Faxes,Do not allow Mails,Do not allow Phone Calls,E-mail,E-mail Address 2,E-mail Address 3,Fax,FTP Site,Industry,Last Date Included in Campaign,Market Capitalization,Modified By,Modified On,No. of Employees,Originating Lead,Other Phone,Owner,Ownership,Parent Account,Payment Terms,Preferred Day,Preferred Facility/Equipment,Preferred Method of Contact,Preferred Service,Preferred Time,Preferred User,Price List,Relationship Type,Send Marketing Materials,Shares Outstanding,Shipping Method,SIC Code,Status,Status Reason,Stock Exchange,Telephone 3,Territory,Territory Code,Ticker Symbol,Web Site
Best o' Bikes,Anna Bedecs,555-0135,BOBC3J9U,,,Daly City,U.S.,,,,,,,,,,IN,3421 Gehringer Drive,,,,,,,57457,,,,,,,,,,,,,,,,,,,,,,,555-0162,,,,"$825,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,54,,,Jose Curry,Private,,Net 60,,,E-mail,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Central,Default Value,,
Bicycle Accessories and Kits,Laurence Varlet,555-0171,BAK8JYGF,Default Value,,Newport Beach,U.S.,,,,,,,,,,IN,4915 Pear Dr.,,,,,,,56373,,,,,,,,,,,,,,,,,,,,,,,555-0136,,,,"$745,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,51,,,Jose Curry,Private,,Net 60,,,Any,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Central,,,
Big-Time Bike Store,Forrest Chand,555-0178,BTBS3G34,,,Lebanon,U.S.,,,,,,,,,,MA,4650 Franklin Canyon Road,,,,,,,43935,,,,,,,,,,,,,,,,,,,,,,,555-0180,,,,"$7,000,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,148,,,Jose Curry,Private,,Net 60,,,E-mail,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Central,,,
Bike Boutique,Daniel Thompson,555-0135,BBA38GHT,,,Port Orchard,U.S.,,,,,,,,,,NC,2265 Park Glen Court,,,,,,,47349,,,,,,,,,,,,,,,,,,,,,,,555-0167,,,,"$6,000,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,108,,,Jose Curry,Private,,Net 60,,,Phone,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Central,,,
Bike Dealers Association,John Colon,555-0197,BDAS3HF8,,,Bellingham,U.S.,,,,,,,,,,IL,6283 San Marino Ct.,,,,,,,80437,,,,,,,,,,,,,,,,,,,,,,,555-0141,,,,"$20,000,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,399,,,Jose Curry,Private,,Net 60,,,E-mail,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Central,,,
Bike Experts,Monika Buschman,555-0129,BE3HUH8D,Default Value,,West Covina,U.S.,,,,,,,,,,TX,2472 Alexander Place,,,,,,,95626,,,,,,,,,,,,,,,,,,,,,,,555-0157,,,,"$5,500,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,101,,,Jose Curry,Private,,Net 60,,,E-mail,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Central,,,
Bike Products and Accessories,Diego Arteag Torreira,555-0134,BPAX0Z9M,,,Mill Valley,U.S.,,,,,,,,,,CA,9830 May Way,,,,,,,20313,,,,,,,,,,,,,,,,,,,,,,,555-0179,,,,"$3,200,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,93,,,Jose Curry,Private,,Net 60,,,Any,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Central,,,
Bike Universe,Ingrid Burkhardt,555-0158,BIK6FC6E,,,Round Rock,U.S.,,,,,,,,,,TX,56789 Bright Road,,,,,,,98928,,,,,,,,,,,,,,,,,,,,,,,555-0125,,,,"$300,000,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,"2,068",Ingrid Burkhardt,,Gail Erickson,Private,,Net 60,,,E-mail,,,,Wholesale,Prospect,Yes,,,,Active,Active,,,Western,,,
Bike-o-maniac store,Marie Reinhart,555-0165,,,,Seattle,U.S.,,,,,,,,,,WA,1398 Yorba Linda,,,,,,,85058,,,,,,,,,,,,,,,,,,,,,,,555-0167,,,,"$2,500,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,84,,,Gail Erickson,,,Net 60,,,Mail,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Western,,,
Bikes unlimited,Stefan Hesse,555-0133,,,,Seattle,U.S.,,,,,,,,,,WA,8290 Margaret Ct.,,,,,,,89764,,,,,,,,,,,,,,,,,,,,,,,555-0179,,,,"$1,800,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,79,,,Gail Erickson,,,Net 60,,,Any,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Western,Default Value,,
Black Sports Goods,Sven Freitag,555-0140,,Default Value,,Miami,U.S.,,,,,,,,,,FL,825 Coral Way,,,,,,,33155,,,,,,,,,,,,,,,,,,,,,,,555-0135,,,,"$179,000,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,"1,829",,,Alan Jackson,,,Net 60,,,Any,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Eastern,,,
Blue Bicycle Company,Janeth Esteves,555-0164,BLBCO9C8,,,Lake Oswego,U.S.,,,,,,,,,,FL,1286 Cincerto Circle,,,,,,,53502,,,,,,,,,,,,,,,,,,,,,,,555-0158,,,,"$2,900,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,92,,,Jose Curry,Private,,Net 60,,,Any,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Central,,,
Bold Bike Accessories,Oscar Alpuerto,555-0168,BOLE735E,,,Topeka,U.S.,,,,,,,,,,KA,1234 Canyon Road,Ste. 312,,,,,,20593,,,,,,,,,,,,,,,,,,,,,,,555-0147,,,,"$42,000,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,950,Oscar Alpuerto,,Jose Curry,Private,,Net 60,,,Any,,,,Wholesale,Prospect,Yes,,,,Active,Active,,,Central,,,
Breathtaking sports goods,Karan Khanna,555-0172,,,,Redmond,U.S.,,,,,,,,,,WA,1275 West Street,,,,,,,93479,,,,,,,,,,,,,,,,,,,,,,,555-0197,,,,"$2,500,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,82,,,Alan Jackson,,,Net 60,,,Phone,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Eastern,,,
Brown Bicycle Company,Tosh Meston,555-0172,BRWNCO87,,,Downey,U.S.,,,,,,,,,,NM,2141 Del Monte Ct.,,,,,,,20940,,,,,,,,,,,,,,,,,,,,,,,555-0140,,,,"$2,500,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,82,,,Jose Curry,Private,,Net 60,,,E-mail,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Central,,,
Cash and Carry Bikes,Dorothy Fox,555-0142,CAS68B76,,,Dallas,U.S.,,,,,,,,,,TX,500 Oak Street,,,,,,,95486,,,,,,,,,,,,,,,,,,,,,,,555-0153,,,,"$500,000,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,"5,147",Dorothy Fox,,Jose Curry,Private,,Net 60,,,Phone,,,,Wholesale,Prospect,Yes,,,,Active,Active,,,Central,,,
Certified Bicycle Supply,Terry Adams,555-0135,CERBS3J4,,,West Covina,U.S.,,,,,,,,,,IN,218 Fall Creek Road,,,,,,,66496,,,,,,,,,,,,,,,,,,,,,,,555-0168,,,,"$1,800,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,77,,,Jose Curry,Private,,Net 60,,,Phone,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Central,,,
Cheap n Best bikes,Darren Parker,555-0174,,,,Redmond,U.S.,,,,,,,,,,WA,8000 Kiska Court,,,,,,,34855,,,,,,,,,,,,,,,,,,,,,,,555-0121,,,,"$12,250,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,257,,,Alan Jackson,,,Net 60,,,Mail,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Eastern,,,
Coalition Bike Company,Madeleine Kelly,555-1010,COABC22W,Default Value,,Corvallis,U.S.,,,,,,,,,,WA,5807 Churchill Dr.,,,,,,,20939,,,,,,,,,,,,,,,,,,,,,,,555-0135,,,,"$1,250,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,72,,,Jose Curry,Private,,Net 60,,,E-mail,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Central,,,
Convenient Bike Shop,Vong William,555-0199,CONBS0L8,,,Everett,U.S.,,,,,,,,,,TX,6061 St. Paul Way,,,,,,,98928,,,,,,,,,,,,,,,,,,,,,,,555-0175,,,,"$950,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,68,,,Jose Curry,Private,,Net 60,,,Any,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Central,,,
Cool Ride Store,Rajesh Patel,555-0135,,,,Seattle,U.S.,,,,,,,,,,WA,874 Olivera Road,,,,,,,54848,,,,,,,,,,,,,,,,,,,,,,,555-0157,,,,"$3,200,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,95,,,Gail Erickson,,,Net 60,,,Phone,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Western,,,
Curbside Sporting Goods,Cindy Dodd,555-0135,CSG01TR7,,,Altadena,U.S.,,,,,,,,,,TN,4659 Montoya,,,,,,,58364,,,,,,,,,,,,,,,,,,,,,,,555-0135,,,,"$9,400,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,199,,,Jose Curry,Private,,Net 60,,,Phone,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Central,,,
Cycles and Scooters,Peggy Justice,555-0168,CNS01DF3,,,West Covina,U.S.,,,,,,,,,,TX,1667 Warren Street,,,,,,,96424,,,,,,,,,,,,,,,,,,,,,,,555-0168,,,,"$8,450,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,196,,,Jose Curry,Private,,Net 60,,,E-mail,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Central,,,
Daring Rides,Teresa Atkinson,555-0140,DARR1947,,,Torrance,U.S.,,,,,,,,,,KY,7179 Montana,,,,,,,62964,,,,,,,,,,,,,,,,,,,,,,,555-0142,,,,"$10,500,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,253,,,Jose Curry,Private,,Net 60,,,Any,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Central,Default Value,,
Designer Bikes,Cesar Garcia,555-0135,,,,Redmond,U.S.,,,,,,,,,,WA,3066 Wallace Dr.,,,,,,,78508,,,,,,,,,,,,,,,,,,,,,,,555-0129,,,,"$30,000,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,879,,,Alan Jackson,,,Net 60,,,Any,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Eastern,,,
Discount Bicycle Specialists,Connie Coffman,555-0156,DIS0F91C,,,Fort Worth,U.S.,,,,,,,,,,TX,89 Armadillo Road,,,,,,,96424,,,,,,,,,,,,,,,,,,,,,,,555-0135,,,,"$1,600,000,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,"8,023",Connie Coffman,,Jose Curry,Private,,Net 60,,,Phone,,,,Wholesale,Prospect,Yes,,,,Inactive,Inactive,,,Central,,,
Distinctive Cycles Sales and Service,Scott Cooper,555-0158,DCSS43GR,,,Burbank,U.S.,,,,,,,,,,TX,2912 Guadalupe,,,,,,,20935,,,,,,,,,,,,,,,,,,,,,,,555-0156,,,,"$10,470,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,247,,,Jose Curry,Private,,Net 60,,,Any,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Central,,,
Diving Bikes,Terry Earls,555-0135,,,,Everett,U.S.,,,,,,,,,,WA,475 Santa Maria,,,,,,,49192,,,,,,,,,,,,,,,,,,,,,,,555-0133,,,,"$300,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,8,,,Alan Jackson,,,Net 60,,,Mail,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Eastern,,,
Economy Bikes Company,Chris Meyer,555-0165,EBC8HU74,,,Portland,U.S.,,,,,,,,,,FL,4701 Mt. Dell Drive,,,,,,,43379,,,,,,,,,,,,,,,,,,,,,,,555-0131,,,,"$650,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,49,,,Jose Curry,Private,,Net 60,,,Any,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Central,,,
Elemental Sporting Goods,Ray Chow,555-0133,ELSGJ9J8,,,Los Angeles,U.S.,,,,,,,,,,TX,7651 Smike Tree Court,,,,,,,95486,,,,,,,,,,,,,,,,,,,,,,,555-0174,,,,"$500,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,47,,,Jose Curry,Private,,Net 60,,,E-mail,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Central,,,
Eleventh Bike Store,Willis Johnson,555-0128,EBS3HF79,,,Lynnwood,U.S.,,,,,,,,,,MA,8850 Via Del Sol,,,,,,,22308,,,,,,,,,,,,,,,,,,,,,,,555-0130,,,,"$470,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,41,,,Jose Curry,Private,,Net 60,,,E-mail,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Central,,,
Ever lasting bikes,Eva Corets,555-0134,,,,Redmond,U.S.,,,,,,,,,,WA,7297 Rosalinda,,,,,,,96741,,,,,,,,,,,,,,,,,,,,,,,555-0196,,,,"$3,200,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,96,,,Alan Jackson,,,Net 60,,,Any,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Eastern,,,
Ever winning bikes,Bruno Denuit,555-0129,,,,Redmond,U.S.,,,,,,,,,,WA,4909 Poco Lane,,,,,,,48400,,,,,,,,,,,,,,,,,,,,,,,555-0168,,,,"$5,500,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,102,,,Alan Jackson,,,Net 60,,,Phone,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Eastern,,,
Exemplary Cycles,Cathan Cook,555-0198,EXEC324H,,,Dallas,U.S.,,,,,,,,,,TN,9491 Toyon Dr,,,,,,,58299,,,,,,,,,,,,,,,,,,,,,,,555-0135,,,,"$310,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,39,,,Jose Curry,Private,,Net 60,,,Any,,,,,Customer,Yes,,,,Active,Active,,,Central,Default Value,,
Extras Sporting Goods,Iben Thorell,555-0113,EXSG7364,,,Atlanta,U.S.,,,,,,,,,,TX,4151 Olivera,,,,,,,96424,,,,,,,,,,,,,,,,,,,,,,,555-0163,,,,"$290,000.00 ",,Preferred Customer,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Entertainment Retail,,,First name Last name,6/26/2007,38,,,Jose Curry,Private,,Net 60,,,E-mail,,,,,Customer,Yes,,,,Active,Active,,,Central,,,
Fantastic bikes,Tom Youtsey,555-0136,,,,Redmond,U.S.,,,,,,,,,,WA,2383 Pepper Drive,,,,,,,51181,,,,,,,,,,,,,,,,,,,,,,,555-0172,,,,"$24,500,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,468,,,Alan Jackson,,,Net 60,,,Any,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Eastern,,,
Fast and Fun Bikes,David Simpson,555-0185,,Default Value,,Edmonds,U.S.,,,,,,,,,,WA,2466 Clearland Circle,,,,,,,74484,,,,,,,,,,,,,,,,,,,,,,,555-0161,,,,"$745,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,52,,,Gail Erickson,,,Net 60,,,Mail,,,,Wholesale,Customer,Yes,,,,Active,Active,,,Western,,,
Fifth Bike Store,Karren Burkhardt,555-0140,FIF69650,,,Indianapolis,U.S.,,,,,,,,,,IN,2332 Flower Street,,,,,,,66496,,,,,,,,,,,,,,,,,,,,,,,555-0103,,,,"$1,100,000,000.00 ",,Standard,,First name Last name,6/26/2007,No,,,,,,Allow,Allow,Allow,Allow,someone@example.com,,,,,Wholesale,,,First name Last name,6/26/2007,"6,800",Karren Burkhardt,,Gail Erickson,Private,,Net 60,,,E-mail,,,,Wholesale,Prospect,Yes,,,,Active,Active,,,Western,Default Value,,
