Number,Subject,Title,Article,ArticleXML,Created By,Created On,Description,Key Words,Modified By,Modified On,Status,BaseTemplate
KBA-01001,Bicycle General,Adjusting the Seat/Saddle,{76a8d1ae-a642-4967-9daf-39c7b28030b6},"<articledata><section id='0'><content><![CDATA[The bicycle seat, or saddle, can be adjusted for height, angle, and front/back position.]]></content></section><section id='1'><content><![CDATA[<P>Height adjustment - at the bottom of the stroke your knee should be almost straight. You want the seat high, but not so high it hyperextends the knee and causes stress on the rider.</P><P>If your bike has quick-release lever on the seat post, then open the mechanism, move the<BR>seat to the desired position, and close the quick-release lever. Do not exceed the maximum<BR>safety line on the seat post.</P><P>The angle of the saddle should be nearly horizontal. If it is tilted forward, you will slide forward<BR>and put too much pressure on the hands and arms.  The seat angle is largly a personal preference.</P><P>The seat can be adjusted forward and backwards.  It is clamped to the seat post by a <BR>pair of metal rails. Loosen the bolt and slide the seat fore or aft, then tighten the bolt.</P>]]></content></section></articledata>",First name Last name,1/18/2008,,"seat, saddle, adjust, height, angle, position",First name Last name,1/18/2008,Draft,Procedure
KBA-01029,Service,Front derailleur adjustment,{92f5284f-a71b-4311-a85d-3b6548d259a9},"<articledata><section id='0'><content>Gripping each crankarm with one hand, push and pull laterally to check for play in the bottom bracket (photo). If necessary, use the appropriate bottom bracket (BB) tools to remove play. Depending on what type of BB you have, you may need to remove the crankarm first. Any play in the BB bearings makes it impossible to properly adjust the front derailleur. While you_re working on the crankset, check each crankbolt with the 5-mm allen wrench to make sure they_re tight.Lift the chain off the smallest chainring and place it on the bottom bracket of the frame. Turn the crank by hand while looking at the chainrings from above. Using one side of the front derailleur cage as a reference, observe the trueness of each ring. If they wobble, true them by prying gently with the adjustable wrench (set the jaws just wide enough to slip over the ring). Another way to do this is to tap on the wobble with a plastic mallet. This takes a little practice, but it works nicely when you get the hang of it.Place the chain back on the ring. Next remove the cable end cap, loosen the anchor bolt with a wrench, and remove the cable from the housing (if applicable). Replace a rusted or frayed cable and cracked or corroded housing. Run the new cable through the lever, housing (or BB guide), and stops to the anchor bolt (photo). Don_t tighten it yet. Apply spray lube to the derailleur pivot points and wipe off the excess. Check the tightness of the cage bolt with a screwdriver.</content></section></articledata>",First name Last name,1/18/2008,Front derailleur adjustment,"front derailleur, adjustment",First name Last name,1/18/2008,Published,Procedure
KBA-01049,Service,Replacing the Brake Pads,{5162c1ce-7dee-4052-9e2b-3d431b2b3d17},"<articledata><section id='0'><content>Remove the old brake pad. Before doing so, note the position of the stem on the slot in the brake caliper. Also note where the slot falls among the ball-joint spacers on the stem of the brake. (One set of spacers is larger than the other. As the brake wore down, the spacers may have been exchanged.) If there's any tread or grooves left on the pad, note which way it points.The brake pad is removed by turning the nut on the end of the threaded stem. Put the new pad in its place, being sure to note whether the pad has a specified direction for mounting. In general, if there are Vs in the pad, the V points toward the back of the bike -- the direction the wheel will be turning into it.Use the wider ball-joint spacer on the pad side of the caliper if you want your calipers wider apart. If you like them close, put the wider spacers on the nut side of the caliper.</content></section></articledata>",First name Last name,1/18/2008,Replacing the Brake Pads,brake pads,First name Last name,1/18/2008,Published,Procedure
KBA-01052,Service,Handlebar height adjustment,{cf96f142-95d9-421c-a5cd-3deeeb553cf5},"<articledata><section id='0'><content>Varying the height of the handlebar can make riding more comfortable. It also changes how the bike rides. Higher handlebars make it easier to get back during steep downhills. Lower handlebars are an advantage in climbing steeps, because you can get your weight onto the front of the bike easier. The height of the handlebar depends on the stem, the thing that attaches your handlebar to the steering mechanism. With a threaded stem, you can easily raise or lower the handlebars without swapping any equipment. With a threadless stem, you need to take things apart and either (1) insert spacers below the stem, (2) buy and install a 'riser' stem, or (3) both.</content></section></articledata>",First name Last name,1/18/2008,Handlebar height adjustment,handlebar,First name Last name,1/18/2008,Published,Procedure
KBA-01021,Mountain Bikes,Owner's Manual for Adventure Works Cycle Mountain Bikes,{70f7d696-f762-4838-8faf-4630927d4842},<articledata><section id='0'><content><![CDATA[<P>This manual is for all models of mountain bikes:</P><P>Mountain-500<BR>Mountain-400<BR>Mountain-300<BR>Mountain-200<BR>Mountain-100</P>]]></content></section><section id='1'><content><![CDATA[<P>TABLE OF CONTENTS</P><P>1. Parts of a Bicycle</P><P>2. Geometry and Specifications</P><P>3. Performing a Safety Check </P><P>4. Maintaining Your Bicycle: Tuning Basics</P><BLOCKQUOTE dir=ltr style='MARGIN-RIGHT: 0px'><P>Releasing the front and rear wheels<BR>Cleaning and lubrication</P></BLOCKQUOTE><P>5. Maintaining Your Bicycle: Advanced</P><BLOCKQUOTE dir=ltr style='MARGIN-RIGHT: 0px'><P>Maintenance schedule<BR>The brake system<BR>Gears and Drive train<BR>Handlebars and headset<BR>Front and rear suspension</P></BLOCKQUOTE><P>6. Dealers</P><P>7. Warranty Information</P><P>8. Stunts<BR></P>]]></content></section></articledata>,First name Last name,1/18/2008,,"owner's, manual, mountain, bike, model, part, geometry, specification, maintenance, warranty, stunt",First name Last name,1/18/2008,Published,Procedure
KBA-01028,Service,Rear derailleur adjustment,{bee0d260-5b8e-4108-8288-481a8d8869a3},"<articledata><section id='0'><content>Cut off the end cap, loosen the anchor bolt, and extract the cable. If it_s kinked or rusted, replace it. Grease sections that run inside housing (photo) and reroute the cable through the housing and to the anchor bolt. Turn the derailleur adjustment barrel clockwise all the way, then unscrew it one turn. Don_t tighten the anchor bolt yet. While pedaling with your right hand, push against the derailleur body with your left thumb (photo), causing a shift to the largest cog. Release the pressure with your thumb to shift to the smallest cog. Do this repeatedly, noting any hesitation or overshifting. The chain should move smoothly onto the smallest and largest cogs.If necessary, adjust the derailleur_s range of motion by turning (photo) the high- and low-gear limit screws (usually the top and bottom, respectively) to allow the derailleur to shift accurately to the largest and smallest cogs. Counterclockwise turns allow it to move farther; clockwise turns limit it. Keep shifting with your thumb and fine-tuning the screws until the chain shifts perfectly onto each cog with no hesitation or overshifting (off the top or bottom cogs</content></section></articledata>",First name Last name,1/18/2008,Rear derailleur adjustment,"rear, derailleur, adjustment",First name Last name,1/18/2008,Draft,Procedure
KBA-01020,General Company,Adventure Works Cycle Recalls,{34129253-faeb-462e-ac1c-57a6380acf97},"<articledata><section id='0'><content><![CDATA[For your safety, contact your dealer if you own any of the following models of bikes:<BR>If you have mailled in your warranty card and included your serial number, then you<BR>should receive a personalized mailing notifying you of any recalls that apply to<BR>products you have purchased.]]></content></section><section id='1'><content><![CDATA[<P><STRONG>MOUNTAIN BIKE FORK recall:</STRONG></P><BLOCKQUOTE dir=ltr style='MARGIN-RIGHT: 0px'><P><U>MODELS</U>: All mountain bike models with frame sizes of 38 or 40 inches, and a date stamp from Nov 2001 through Dec 2001.</P><P><U>PROBLEM</U>: The forks can break causing serious injury to the rider.</P><P> </P></BLOCKQUOTE><P><STRONG>CRANKARM recall:</STRONG></P><BLOCKQUOTE dir=ltr style='MARGIN-RIGHT: 0px'><P><U>MODELS</U>: Crankarms from the road bike models 550-W and 350-W with a date code between June 2000 and August 2000.</P><P><U>PROBLEM</U>: May crack, causing a fall.</P></BLOCKQUOTE><P> </P><P><STRONG>SEAT POST CLAMP recall:</STRONG></P><BLOCKQUOTE dir=ltr style='MARGIN-RIGHT: 0px'><P><U>MODELS</U>: The Touring-2000 is the only bike model affected. Bring your bike in for<BR>          an evaluation at your local dealer.</P><P><U>PROBLEM</U>: The seat post clamp may be defective. It is impossible to identify the<BR>           defective clamps.  To avoid possible injury if the clamp breaks, all<BR>           seat clamps will be replaced with a new stainless steal clamp.<BR></P></BLOCKQUOTE>]]></content></section></articledata>",First name Last name,1/18/2008,,"recall, safety, warranty",First name Last name,1/18/2008,Unapproved,Procedure
KBA-01018,Dealer Inquiries,Dealer List and Requirements,{39c31bf6-b367-4cbe-b114-6104e4744f84},"<articledata><section id='0'><content><![CDATA[Dealer List and Requirements]]></content></section><section id='1'><content><![CDATA[Direct dealer inquiries to:<BR>Adventure Works Cycle<BR>Bothell, WA 555-0100<BR><A href='mailto:someone@example.com'>someone@example.com</A>]]></content></section></articledata>",First name Last name,1/18/2008,,"dealer, list, requirement",First name Last name,1/18/2008,Unapproved,Procedure
KBA-01044,Service,Servicing the Headset,{7f21b8e4-a82c-4d6b-aa4a-638c70d023d8},"<articledata><section id='0'><content>You may need to restrain the bearing cup (the other twistable object just below the locknut) as you loosen the locknut. Thin headset wrenches work best, but you can probably find something in the garage that works -- such as a channel lock plier on the bearing cup and a crescent wrench on the locknut. Now loosen the stem. (Some stems are held in place by a compression fitting of the locknut -- they'll already be loose at this point.) If there's a dust cap on top of the stem, pop it off. Insert a hex wrench into the bolt at the bop of the stem and turn until the handlebars move independently of the wheel.Slide the stem out of the steering tube. Carefully place the handlebars in a position where you won't kink the cables! For example, you might use a wood clamp to attach the stem to the side of the steering tube. Now loosen the bearing cup with your headset wrench (or whatever). I usually tilt the bike so the fork will stay in place. Put a big pan or cloth underneath, to catch any loose bearings.Slide the front fork away from the steering tube. If the bottom bearings don't come out with the headset tube, reach inside the bottom of the steering tube and fish them out. If the bearings aren't held in a clip, put them in a bowl and count them (top and bottom separately), so you get them back correctly.Put the front wheel back on (if you took it off). Look down to match the direction of the stem to the direction of the front tire. Tighten the stem into the headset with the hex wrench.</content></section></articledata>",First name Last name,1/18/2008,Servicing the Headset,"headset, locknut",First name Last name,1/18/2008,Draft,Procedure
KBA-01033,Service,Headset and handlebar stem,{ce09efa1-530f-4f7b-a862-6483f352f86e},"<articledata><section id='0'><content>In order to adjust the stem height, you must first loosen the top stem bolt two or three turns and then bang it down with a soft hammer. This releases an internal wedge. While the stem is loose, take it out and grease the shaft of the stem and the wedge threads. To reinstall, tighten the bolt once you are satisfied with the position. There must be at least 2-1/2 inches of handlebar stem inserted into the fork. Check to see that the stem is properly tight by trying to turn the handlebar while trapping the front wheel between your knees. Also check that the handlebar is secure in the stem. </content></section></articledata>",First name Last name,1/18/2008,Headset and handlebar stem,"headset, handlebar, stem",First name Last name,1/18/2008,Draft,Procedure
KBA-01042,Service,Splined Crank Removal and Replacement,{2690b2ea-0974-4a17-b60c-6a0c915e307a},"<articledata><section id='0'><content>Insert a hex-head wrench into the opening at the base of the crank. You use the same tool you'd use to remove the dust-cap screw from the crank on a standard tapered-spindle bottom bracket. Turn counter-clockwise until the bolt and dust-cap are loose. (The dust cap may keep the bolt from coming completely out of the crank -- you don't need to pull it out, you only need to loosen it.)</content></section></articledata>",First name Last name,1/18/2008,Splined Crank Removal and Replacement,"crank, splined, hex-head",First name Last name,1/18/2008,Published,Procedure
KBA-01043,Service,Replacing the Front Fork,{c553be01-2aa0-496b-8020-6c224b5cc11e},"<articledata><section id='0'><content>A front fork may be replaced to (1) upgrade the shock absorbers, (2) allow attachment of disc brakes, (3) replace a bent or cracked fork, or (4) to get a prettier color. In general, the pieces of the front fork (for example, an individual shock) aren't replaced individually -- the whole thing is swapped out. </content></section></articledata>",First name Last name,1/18/2008,Replacing the Front Fork,"front fork, shock absorbers",First name Last name,1/18/2008,Published,Procedure
KBA-01016,Components,Wheel Basics,{30ef391f-c895-4454-8213-6cde155c7b23},"<articledata><section id='0'><content><![CDATA[The wheel consists of the hub (the inner part that attaches to the frame), <BR>the rim (which holds the tube and tire), spokes (which support the rim) and<BR>tires. See the separate article on tires and tubes.]]></content></section><section id='1'><content><![CDATA[<P>The hub is the middle part of the wheel; has an axle, shell, and bearings.</P><P>Some hubs have brakes incorporated.</P><P>The rim is the outer metal frame.</P><P>The front wheel attaches to the fork.</P><P>Quick-release hubs allow you to remove the wheel without using any tools.</P><P>'Trueing' the wheels should be done by your dealer. This makes them consistently round and aligned, and prevents the brake pads from rubbing against them.</P>]]></content></section></articledata>",First name Last name,1/18/2008,,"wheel, hub, rim, tire",First name Last name,1/18/2008,Published,Procedure
KBA-01027,Service,Replacing the Skewer,{5089965a-7041-4ae8-b579-75935f9942c1},"<articledata><section id='0'><content>The skewer is the 'axle' of the wheel. It holds the wheel hub in the dropouts. A bent skewer can make the wheel rotate unevenly.Flip the quick-release lever to loosen the skewer.Unscrew the cap on the opposite end of the skewer enough to drop the wheel out of the dropouts. Now continue unscrewing the cap until it releases from the threads on the skewer.Withdraw the skewer by pulling it out from the quick-release side. Inspect and clean the skewer. If the skewer is bent, replace it. Note that the springs fit on the skewer with the WIDE ends aiming outward, towards the cap and quick-release.</content></section></articledata>",First name Last name,1/18/2008,Replacing the Skewer,"skewer, axle",First name Last name,1/18/2008,Published,Procedure
KBA-01002,Bicycle General,Tuning Basics,{ecd0ec96-4965-4a45-8c06-75ca68a601b0},"<articledata><section id='0'><content><![CDATA[AWC recommends that you take your bike to an authorized dealer for most maintenance. You should check your bike before and after every ride to ensure that there are no loose parts.]]></content></section><section id='1'><content><![CDATA[<P><STRONG>LUBRICATION<BR></STRONG>Clean and oil the chain frequently. Do not get any lubricating agents on the rims or it will prevent the brakes from functioning properly! Lubricate the brake and derailleur cables and pivots periodically. </P><P><BR><STRONG>WHEELS AND TIRES</STRONG><BR>Inspect the wheels and rims of your bicycle before every ride. Check to see that the wheels are properly aligned, and that there are no missing or loose spokes.</P><P><BR><STRONG>BRAKES<BR></STRONG>Check that your brakes are functioning by rolling your bike back and forth and squeezing the brake levers. They should grip tightly. Inspect the brake pads for wear.  Brake cables will stretch with use and need to be adjusted.</P><P><STRONG>HEADSET<BR></STRONG>Ensure that the handlebar turns freely without binding. Lift the front wheel off the ground and shake it back and forth to check for any wobbling or looseness.</P><P><STRONG>CLEANING YOUR BIKE<BR></STRONG>Wash your bike with water and mild detergent. Do not use a pressurized hose. After washing dry with a soft cloth.  Do not submerge the bearings or you may contaminate the bearing grease.</P>]]></content></section></articledata>",First name Last name,1/18/2008,,"maintenance, check, inspect, brake, clean",First name Last name,1/18/2008,Unapproved,Procedure
KBA-01053,Service,Tubeless tire tips,{834dff73-9568-4d21-b1cd-878561c51221},"<articledata><section id='0'><content> To install a brand-new tire on a tubeless system, put an inner tube inside it and pump it to 60 PSI. Leave it a day or two in a warm place, or go riding on it.  The tire bead smooths out against the rim and takes the 'folds' out of a Kevlar-bead tire that's been in a box.  Then take the tube out and inflate the tire with sealant. der using a standard UST tire in the back.  It's heavier, but more resistant to rim-cuts by rocks and roots, and less likely suffer a split sidewall as the tire gets older.  Rim strips are fragile and easily develop leaks around the stem.  Be sure to use the little nut to tighten the stem. Otherwise, you may push the rim strip up into the tire (instead of underneath the tire's bead) when trying to fill the tire with air.  Every 90 days, pull off your tire, remove the goop and replace with new sealant. If you don't it gets thick and gels up.  Stan's sealant weakens the rubber in tire sidewalls. After a couple of months, the tire may blow out. Specialized brand tires seem more prone to this.  If you have a UST tubeless wheel, try running a standard tire with 2 ounces of Stan's tire sealant. This is lighter than any other type of tire setup.  The Stan's system can be replicated on your own. You can buy sealant more cheaply at an automotive store. Rim strips can be made using a smaller diameter tube and a razor blade. (There's a technique to making the strips, but it can be done.)  If you use the Stan's sealant, there's no need to patch small leaks. The initial plug will harden with heat and use. 'Slime' will eventually come unglued, and the old hole becomes a new hole.  There are ways to seal non-UST rims with packing tape and electrical tape that works quite well, so you don't have to buy the Stan's rim strip.  The bead area on a non-UST tire is rougher than a true tubeless tire, and tends to slowly leak air. Wipe some Slime (or other gooey brand of tire sealer) on the bead of the tire and on the inside of the rim before inflating the tire. But DON'T do this unless your wheel is up away from sand and dirt!  Get a bunch of 2-ounce plastic squeeze-bottles from the craft store. Cut the nipple so it has a big opening, but still fits inside the stem of the tire liner. When filling, be sure you get plenty of 'chunks' in the sealant -- they help clot bigger holes. Pack a bottle in your Camelbak every time you ride.  Buy a mini-pump that doubles as a CO2-cartridge inflator and a standard pump. With bigger tires, the CO2 inflator may not fill the tire hard enough. With a double-function inflator, just use the pump to top off the pressure after the CO2 seals the tire.  Look for a CO2 inflator that uses small-necked, non-threaded cartridges. You can buy replacement cartridges at the sporting goods store, for less than half what you'd pay at the bike shop.  Buy a small compressor with a reservoir tank to inflate your tires (paint store). Get a cigarette-lighter power inverter, and toss the compressor in your trunk on your biking trips. You'd be surprised how many times it's saved me $3 for a CO2 cartridge, and even the non-tubeless guys love it.  Once you're committed to tubeless, consider Schraeder-valve rim strips. You won't need an adapter to inflate the tire, and with the core-removing tool you buy at Checker Auto, you can replace a valve core when it plugs up with hardened sealant.  Buy BIG tires. Don't be seduced by the lightweight racing slicks. For example, a 1.8-inch tire doesn't contain enough air to keep the rim from pushing the tire hard into rock edges. Because these tires have no tread and are paper-thin, they'll literally slice on the edge of the rock, and you'll walk home.  Always take two inner tubes with you. You never know when you'll get both tires punctured.</content></section></articledata>",First name Last name,1/18/2008,Tubeless tire tips,tubeless tires,First name Last name,1/18/2008,Published,Procedure
KBA-01055,Service,Wheel alignment,{dca7ac91-afdf-4dea-8b14-8f81f4a6fb5a},"<articledata><section id='0'><content>Leave the wheel on the bike and the tire and tube inflated. Hang the bike up. Turn the wheel around until you find the area which is the most bent. Use the brake pads (perhaps adjusted closer) or a pencil held next to the bike frame to indicate clearly the location of the bend.If you were to shorten some of the spokes going from the bent area to the side of the hub opposite the direction of the bend, or lengthen the spokes on the side toward which it is bent, the rim would bend back toward the center.</content></section></articledata>",First name Last name,1/18/2008,Wheel alignment,alignment,First name Last name,1/18/2008,Published,Procedure
KBA-01035,Service,Removing and Replacing the Cogs,{b19716a8-d0fe-404b-a7f8-921669db939a},"<articledata><section id='0'><content>The cogs must be removed to replace spokes on the rear wheel. Or you may need to get a specific cog free of the rest to straighten out a bent tooth. Eventually, the teeth become worn and the entire cassette must be replaced. (Keeping your chain clean, and replacing it every 1000 miles, helps your cogs last longer.)</content></section></articledata>",First name Last name,1/18/2008,Removing and Replacing the Cogs,"cogs, removal",First name Last name,1/18/2008,Published,Procedure
KBA-01051,Service,Shock Absorber Wiper Service,{3022b43c-5a24-415f-b669-9248251df5b8},"<articledata><section id='0'><content>The 'wiper' is the seal that keeps dust and grit out of the inside of your shock. Its job is to wipe away dirt as the stanchion telescopes into the slider. To perform its job properly, it just be moist with lubricant. When dry, it will hold the dirt against the stanchion and grind away the finish! The wiper should be cleaned and lubed about every 25 hours of riding.</content></section></articledata>",First name Last name,1/18/2008,Shock Absorber Wiper Service,shock absorbers,First name Last name,1/18/2008,Published,Procedure
KBA-01048,Service,"Truing action, based on overall spoke tightness",{830bb3a0-c7f1-41d4-90b1-9866dcc67764},"<articledata><section id='0'><content>Spokes overall rather loose:Tighten 2 spokes that attach on side of gap, 1/4 turn each (clockwise) Spokes about right, on average:Tighten 2 spokes on side of tap, 1/8 turn each (clockwise)Loosen spokes between (attaching to opposite side), 1/8 turn eachSpokes seem generally too tight:Loosen 2 spokes on side OPPOSITE gap, 1/4 turn each (counterclockwise)</content></section></articledata>",First name Last name,1/18/2008,"Truing action, based on overall spoke tightness","truing, spoke",First name Last name,1/18/2008,Draft,Procedure
KBA-01024,Road Bikes,Specifications and Geometry for Road Bikes,{54618781-8dc9-4b56-aaa2-9929b4d6feb8},"<articledata><section id='0'><content><![CDATA[Detail specification and geometry for Road Bikes]]></content></section><section id='1'><content><![CDATA[<P><STRONG>Road Bike Geometry<BR></STRONG> <BR>Sizes                                  38      40      42      48</P><P><BR>Standover Height (in)            26.9    28.0    30.4    31.6   <BR>Seat Tube Angle (degrees)     73.1    73.1    73.1    73.1<BR>Head Tube Angle (degrees)     70.0    70.0    70.0    70.0<BR>Top Tube Length (in)             21.2    22.5    23.1    23.5<BR>Chainstay Length (in)            16.7    16.7    16.7    16.7<BR>Bottom Bracket Height (in)     12.2    12.2    12.2    12.2<BR>Wheelbase (in)                     41.8    42.0    42.7    43.8</P><P> </P><P><STRONG>Road Bike Specifications</STRONG></P><P>Sizes:                 38, 40, 42, 46, 48, 50, 52 <BR>Colors:                Black, Silver<BR>Frame:                Heat-treated aluminum<BR>Fork:                  Variable travel<BR>Headset:             AWC top<BR>   <BR>Crankset:            Triple alumninum<BR>Bottom Bracket:   Chromoly steel<BR>Front Derailleur:    Wide-link<BR>Rear Derailleur:     Sealed bearings<BR>Shift Levers:        8, 9, or 10-speed<BR>Chain:                 3/32' roller chain</P><P>Freewheel:          8, 9, or 10-speed cassette   <BR>Hubset:              rear composition, disc<BR>Spokes:              stainless steel<BR>Rims:                  carbon fiber<BR>Tires:                 700 x 23c tubeless<BR>   <BR>Brakes:               Mechanical disc<BR>Brake Levers:       Alloy adjustable<BR>Pedals:               Clipless resin<BR>Handlebars:         Butted<BR>Seatpost:           AWC Competition<BR>Saddle:              Black vinyl, titanium rails<BR></P>]]></content></section></articledata>",First name Last name,1/18/2008,,,First name Last name,1/18/2008,Published,Procedure
